time_s,gt_x,gt_y,gt_yaw,wheel_x,wheel_y,wheel_yaw,ekf_x,ekf_y,ekf_yaw,err_x,err_y,err_yaw,cmd_vx,cmd_wz,front_left_steer,front_right_steer,rear_left_wheel_vel,rear_right_wheel_vel
20.09,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.5623612138607194e-13,-5.32564324968009e-25,-6.8091632455601374e-12,1.56000721882937e-13,-1.7803917261774982e-25,-1.9526602557107253e-12,2.9298985927142514e-07,5.643336803445727e-07,-1.5022147186891328e-12,,,,,,
20.19,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.570177392749082e-13,-5.379019381150886e-25,-6.843226456881296e-12,1.5678233978381152e-13,-1.7956947054283262e-25,-1.9606538614880265e-12,2.9298986005304306e-07,5.643336803445727e-07,-1.5102083244664339e-12,,,,,,
20.29,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.5779943760472172e-13,-5.43266725049544e-25,-6.877289659813802e-12,1.5756403546838564e-13,-1.811060595418545e-25,-1.9686474672653276e-12,2.9298986083473874e-07,5.643336803445727e-07,-1.518201930243735e-12,,,,,,
20.39,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.5858111602026642e-13,-5.48657999111404e-25,-6.911352873037475e-12,1.5834571803242e-13,-1.8264880881403599e-25,-1.9761969838327786e-12,2.929898616164213e-07,5.643336803445727e-07,-1.525751446811186e-12,,,,,,
20.49,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.5936280018873245e-13,-5.540759383227719e-25,-6.945416054424988e-12,1.5912740167095887e-13,-1.8419766289227447e-25,-1.9841905896100798e-12,2.9298986239810496e-07,5.643336803445727e-07,-1.5337450525884872e-12,,,,,,
20.59,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.6014443496780246e-13,-5.595201604569525e-25,-6.979479257525586e-12,1.599090368426215e-13,-1.857526158944727e-25,-1.992184195387381e-12,2.9298986317974014e-07,5.643336803445727e-07,-1.5417386583657883e-12,,,,,,
20.69,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.6092606633836147e-13,-5.6499098209551775e-25,-7.0135424665190455e-12,1.606906693039029e-13,-1.8731369459404255e-25,-2.000177801164682e-12,2.9298986396137256e-07,5.643336803445727e-07,-1.5497322641430895e-12,,,,,,
20.79,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.6170770840916658e-13,-5.704885036407777e-25,-7.0476056281746045e-12,1.6147231163686115e-13,-1.8888089624219575e-25,-2.007727317732133e-12,2.9298986474301493e-07,5.643336803445727e-07,-1.5572817807105405e-12,,,,,,
20.89,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.624893451679176e-13,-5.760126128489027e-25,-7.0816688200470454e-12,1.6225394839669256e-13,-1.9045423068482358e-25,-2.0157209235094342e-12,2.9298986552465164e-07,5.643336803445727e-07,-1.5652753864878417e-12,,,,,,
20.99,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.6326320963987568e-13,-5.815080205864314e-25,-7.1153913628603474e-12,1.6303562881479917e-13,-1.92033854282891e-25,-2.0237145292867353e-12,2.929898663063321e-07,5.643336803445727e-07,-1.5732689922651428e-12,,,,,,
